TimeUNIX/UTC,TimestampUTC,Hsigm,Tps,Dpdeg,
1631012569,2021-09-07T11:02:49.000Z,0.24,17.06,237.921,
1631014369,2021-09-07T11:32:49.000Z,0.24,12.8,239.643,
1631016169,2021-09-07T12:02:49.000Z,0.22,17.06,239.91,
1631017969,2021-09-07T12:32:49.000Z,0.23,17.06,244.272,
1631019769,2021-09-07T13:02:49.000Z,0.25,17.06,237.337,
1631021569,2021-09-07T13:32:49.000Z,0.28,17.06,240.378,
1631023369,2021-09-07T14:02:49.000Z,0.27,14.62,244.591,
1631025169,2021-09-07T14:32:49.000Z,0.29,14.62,239.685,
1631026969,2021-09-07T15:02:49.000Z,0.28,14.62,241.411,
1631028769,2021-09-07T15:32:49.000Z,0.28,14.62,239.521,
1631030569,2021-09-07T16:02:49.000Z,0.28,14.62,240.152,
1631032369,2021-09-07T16:32:49.000Z,0.32,11.36,241.764,
1631034169,2021-09-07T17:02:49.000Z,0.3,14.62,242.727,
1631035969,2021-09-07T17:32:49.000Z,0.31,14.62,239.748,
1631037769,2021-09-07T18:02:49.000Z,0.3,14.62,241.54,
1631039569,2021-09-07T18:32:49.000Z,0.31,14.62,241.712,
1631041369,2021-09-07T19:02:49.000Z,0.28,14.62,237.881,
1631043169,2021-09-07T19:32:49.000Z,0.29,17.06,242.004,
1631044969,2021-09-07T20:02:49.000Z,0.32,14.62,240.282,
1631046769,2021-09-07T20:32:49.000Z,0.32,3.1,338.247,
1631048569,2021-09-07T21:02:49.000Z,0.38,3.1,341.295,
1631050369,2021-09-07T21:32:49.000Z,0.39,17.06,236.464,
1631052169,2021-09-07T22:02:49.000Z,0.37,2.76,345.675,
1631053969,2021-09-07T22:32:49.000Z,0.4,14.62,252.97,
1631055769,2021-09-07T23:02:49.000Z,0.35,2.62,347.187,
1631057569,2021-09-07T23:32:49.000Z,0.35,2.56,355.351,
1631059369,2021-09-08T00:02:49.000Z,0.37,2.56,349.138,
1631061169,2021-09-08T00:32:49.000Z,0.32,2.68,340.51,
1631062969,2021-09-08T01:02:49.000Z,0.31,2.62,344.751,
1631064769,2021-09-08T01:32:49.000Z,0.34,14.62,251.124,
1631066569,2021-09-08T02:02:49.000Z,0.34,2.76,337.095,
1631068369,2021-09-08T02:32:49.000Z,0.35,14.62,238.68,
1631070169,2021-09-08T03:02:49.000Z,0.35,14.62,246.109,
1631071969,2021-09-08T03:32:49.000Z,0.32,14.62,246.403,
1631073769,2021-09-08T04:02:49.000Z,0.28,14.62,245.417,
1631075569,2021-09-08T04:32:49.000Z,0.25,14.62,239.617,
1631077369,2021-09-08T05:02:49.000Z,0.26,14.62,237.988,
1631079169,2021-09-08T05:32:49.000Z,0.27,14.62,239.186,
1631080969,2021-09-08T06:02:49.000Z,0.27,14.62,243.892,
1631082769,2021-09-08T06:32:49.000Z,0.28,14.62,242.645,
1631084569,2021-09-08T07:02:49.000Z,0.27,14.62,240.286,
1631086369,2021-09-08T07:32:49.000Z,0.28,14.62,241.939,
1631088169,2021-09-08T08:02:49.000Z,0.25,14.62,242.634,
1631089969,2021-09-08T08:32:49.000Z,0.2,3,326.591,
1631091769,2021-09-08T09:02:49.000Z,0.15,14.62,240.304,
1631093569,2021-09-08T09:32:49.000Z,0.11,14.62,240.045,
1631095369,2021-09-08T10:02:49.000Z,0.21,14.62,242.342,
1631097169,2021-09-08T10:32:49.000Z,0.17,14.62,243.522,
1631098969,2021-09-08T11:02:49.000Z,0.19,12.8,240.149,
1631100769,2021-09-08T11:32:49.000Z,0.19,14.62,243.587,
1631102569,2021-09-08T12:02:49.000Z,0.18,12.8,243.082,
1631104369,2021-09-08T12:32:49.000Z,0.19,14.62,243.088,
1631106169,2021-09-08T13:02:49.000Z,0.18,14.62,244.64,
1631107969,2021-09-08T13:32:49.000Z,0.22,14.62,246.532,
1631109769,2021-09-08T14:02:49.000Z,0.23,14.62,242.013,
1631111569,2021-09-08T14:32:49.000Z,0.28,12.8,245.733,
1631113369,2021-09-08T15:02:49.000Z,0.34,2.26,355.64,
1631115169,2021-09-08T15:32:49.000Z,0.43,2.76,346.139,
1631116969,2021-09-08T16:02:49.000Z,0.43,2.92,343.237,
1631118769,2021-09-08T16:32:49.000Z,0.41,2.92,352.093,
1631120569,2021-09-08T17:02:49.000Z,0.46,3.4,346.242,
1631122369,2021-09-08T17:32:49.000Z,0.47,3.4,352.818,
1631124169,2021-09-08T18:02:49.000Z,0.49,3.52,349.996,
1631125969,2021-09-08T18:32:49.000Z,0.48,3.4,352.972,
1631127769,2021-09-08T19:02:49.000Z,0.52,3.4,350.496,
1631129569,2021-09-08T19:32:49.000Z,0.53,3.4,346.056,
1631131369,2021-09-08T20:02:49.000Z,0.52,3.52,348.058,
1631133169,2021-09-08T20:32:49.000Z,0.48,3.3,347.334,
1631134969,2021-09-08T21:02:49.000Z,0.59,3.52,344.225,
1631136769,2021-09-08T21:32:49.000Z,0.62,3.64,340.017,
